National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Belgium	100-Holding Account	Nationale Bank Van België 	1	203201340	closed	Account holder	Nationale Bank Van België	de Berlaimontlaan 14		1000	Brussel	Belgium	1	Verbrandingsinstallaties Nationale Bank	BR243690	2005-01-01		-	-	0	de Berlaimontlaan 14		1000	Brussel	BE			1-Combustion installations with a rated thermal input exceeding 20 MW	Luc Ghekiere	de Berlaimontlaan 14		1000	Brussel	BE	5170	4477	5170	4083	5170	3249																											
Belgium	100-Holding Account	Régie des Bâtiments 	2	208312646	closed	Account holder	Régie des Bâtiments	Avenue de la Toison d'Or 87 bte 2		1060	Bruxelles	Belgium	2	Chaufferie Monts des Arts	BR243186	2005-01-01		-	-	0	Rue de la Régence 3, rue de Ruysbroek 2, boulevard de l'Empereur		1000	Bruxelles	BE			1-Combustion installations with a rated thermal input exceeding 20 MW	Jean-Pierre Dezangre	Avenue de la Toison d'Or 87 bte 2		1060	Bruxelles (Saint-Gilles)	BE	3940	1988	3940	3937	3940	4249																											
Belgium	100-Holding Account	VEOLIA 	3	406129003	open	Account holder	VEOLIA	Quai Fernand Demets 52		1070	Bruxelles	Belgium	3	SEDILEC UCL	WAI137P087	2005-04-01		-	-	0	Avenue T. Schwann		1348	Louvain-la-Neuve	BE			20-Combustion of fuels	Patrick Labat	Quai Fernand Demets, 52		1070	Bruxelles	BE	19480	13353	19481	17467	19481	19310	17044	15944	17044	14643	17044	6607	17044	10288	17045	10063	2355	9981	2108	9309	1868	8011	1634		1409		1191		979		775		
Belgium	100-Holding Account	VRT 	6	244142664	closed	Account holder	VRT	August Reyerslaan 52 9L37		1043	Brussel	Belgium	6	Verbrandingsinstallaties VRT	BR240045	2005-04-01	2012-12-31	-	-	0	Auguste Reyerslaan 52		1043	Brussel	BE			20-Combustion of fuels	Sandra Depreter	Reyerslaan 52		1043	Brussel	BE	5540	4309	5540	3413	5540	3039	3779	3150	3779	3449	3779	4218	3779	3299	3779	3687		Excluded															
Belgium	100-Holding Account	Ministerie van Landsverdediging 	9	308357555	closed	Account holder	Ministerie van Landsverdediging	Departement Welzijn - Divisie Leefmilieu - Bruynstraat 1		1120	Neder-Over-Heembeek	Belgium	9	Verbrandingsinstallaties Defensie	BRDEFENSIE	2005-01-01		-	-	0	Lambertmontstraat 8		1000	Neder-Over-Heembeek	BE			1-Combustion installations with a rated thermal input exceeding 20 MW	Jacques De Winter	Eversestraat 1 Blok 1- DGMR		1140	Brussel	BE	10650	9136	10650	7647	10650	5607																											
Belgium	100-Holding Account	Université de Liège 	10	0325777171	open	Account holder	Université de Liège	Place du Vingt-Août 7		4000	Liège	Belgium	10	Université de Liège	WAI125P111	2005-04-01		-	-	0	Allée de la Cense Rouge 69		4102	Liège	BE			20-Combustion of fuels	Albert Corhay	Place du XX août n  7		4000	Liège	BE	14661	14722	14660	14978	14660	13671	15740	14540	15740	14267	15740	16278	15740	12468	15741	11103	11003	14281	9847	5930	8722	6808	7631		6574		5551		4561		3608		
Belgium	100-Holding Account	ArcelorMittal Belgium 	11	0400106291	closed	Account holder	ArcelorMittal Belgium	Boulevard de l'Impératrice 66		1000	Bruxelles	Belgium	11	ArcelorMittal Gent	VL201	2005-04-01	2012-12-31	-	-	0	John Kennedylaan 51		9042	Gent	BE			24-Production of pig iron or steel	Wim Van Gerven	JF Kennedylaan, 51	Site directie	9042	Gent	BE	9358697	4896453	9358697	5238916	9358697	4686947	8918495	4556264	8918495	3415187	8918495	4386583	8918495	4017146	8918495	3777669		Excluded															
Belgium	100-Holding Account	Descamps Belgium 	12	0476314045	closed	Account holder	Descamps Belgium	Galgestraat 157		9700	Oudenaarde	Belgium	12	Descamps Belgium	VL613	2005-04-01	2013-12-31	-	-	0	Galgestraat 157		9700	Oudenaarde	BE			20-Combustion of fuels	Camphuis						7854	7779	7854	6701	7855	5798	9095	6594	9095	6348	9095	6456	9095	5035	9096	2948	6997	2347	0		0		0		0		0		0		0		
Belgium	100-Holding Account	Associated Weavers-Europe 	13	0400254860	open	Account holder	Associated Weavers-Europe	Weverijstraat 1		9600	Ronse	Belgium	13	Associated Weavers Europe	VL601	2005-04-01		-	-	0	Industriezone Klein-Frankrijk 1		9600	Ronse	BE			20-Combustion of fuels	Michel Van Waeyenberge	Industriezone 'Klein Frankrijk' 1		9600	Ronse	BE	7522	6298	7522	7077	7523	6981	14914	9469	14914	8947	14914	9120	14913	8048	14913	9263	10708	9174	10522	8937	10333	10535	10143		9951		9757		9560		9364		
Belgium	100-Holding Account	Steenbakkerij Vande Moortel 	14	0432038790	open	Account holder	Steenbakkerij Vande Moortel	Scheldekant 5		9700	Oudenaarde	Belgium	14	Vande Moortel	VL719	2005-04-01		-	-	0	Scheldekant 7		9700	Oudenaarde	BE			32-Manufacture of ceramics	Peter Vande Moortel	Scheldekant 5		9700	Oudenaarde	BE	29082	23603	29082	23377	29081	32723	42380	27694	42380	24023	42380	23739	42380	25201	42380	26222	23445	23343	23038	27759	22626	29764	22209		21789		21364		20935		20503		
