National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Sweden	100-Holding Account	ENA Energi AB 	1	556153-8389	open	Account holder	ENA Energi AB	Kaptensgatan 22		74935	ENKÖPING	Sweden	1	HPC Simpan	03-563-013240-2004	2005-03-03					Kaptensgatan 21		74525	ENKÖPING	SE			20-Combustion of fuels							424	511	424	195	424	284	0	761	0	1235	0	2559	0	724	0	2469	49202	1444	44030	2898	39007	1230	34142		29429		24869		20457		16204		
Sweden	100-Holding Account	ENA Energi AB 	2	556153-8389	open	Account holder	ENA Energi AB	Kaptensgatan 22		74935	ENKÖPING	Sweden	2	PC Stenvreten	03-563-014026-2004	2005-03-04					Garagvägen		74525	ENKÖPING	SE			20-Combustion of fuels							19	3	19	1	19	2	0	0	0	1	0	7	0	0	0	18		0		3		0											
Sweden	100-Holding Account	ENA Energi AB 	3	556153-8389	open	Account holder	ENA Energi AB	Kaptensgatan 22		74935	ENKÖPING	Sweden	3	PC Tjädern	03-563-014027-2004	2005-03-04					Fabriksgatan		74525	ENKÖPING	SE			20-Combustion of fuels							20	0	20	0	20	1	0	1	0	11	0	0	0	2	0	52		1		5		0											
Sweden	100-Holding Account	AB Fortum Värme samägt med Stockholms Stad 	4	556016-9095	open	Account holder	AB Fortum Värme samägt med Stockholms Stad	Lidingövägen 115		11547	Stockholm	Sweden	4	Akalla	01-563-071852-2004	2005-03-04					Esbogatan 4		16474	KISTA	SE			20-Combustion of fuels							12851	4749	12851	6706	12851	5202	0	1963	0	5654	0	13700	0	9063	0	654	26931	245	24102	339	10674	322	9339		8045		6794		5582		4416		
Sweden	100-Holding Account	AB Fortum Värme samägt med Stockholms Stad 	5	556016-9095	closed	Account holder	AB Fortum Värme samägt med Stockholms Stad	Lidingövägen 115		11547	Stockholm	Sweden	5	Bredäng	01-563-071917-2004	2005-03-04	2014-02-17				Vita Liljans väg 6		12734	SKÄRHOLMEN	SE			20-Combustion of fuels							6898	5	6898	106	6898	1	0	20	0	20	0	5	0	0	0	7	1331	0	1191	0	0		0		0		0		0		0		
Sweden	100-Holding Account	AB Fortum Värme samägt med Stockholms Stad 	6	556016-9095	open	Account holder	AB Fortum Värme samägt med Stockholms Stad	Lidingövägen 115		11547	Stockholm	Sweden	6	Brista	01-563-071868-2004	2005-03-04					Returvägen		19560	ARLANDASTAD	SE			20-Combustion of fuels							1060	881	1060	653	1060	1098	0	732	0	568	0	793	0	1502	0	627	131836	444	117981	793	104519	854	91482		78855		66638		54815		43417		
Sweden	100-Holding Account	AB Fortum Värme samägt med Stockholms Stad 	7	556016-9095	closed	Account holder	AB Fortum Värme samägt med Stockholms Stad	Lidingövägen 115		11547	Stockholm	Sweden	7	Brännbo	01-563-071824-2004	2005-03-04					Ormbergsvägen		19333	SIGTUNA	SE			1-Combustion installations with a rated thermal input exceeding 20 MW							2300	0	2300	0	2300					Not Reported		Not Reported																					
Sweden	100-Holding Account	Locum AB 	8	556438-7909	open	Account holder	Locum AB	Box 17201		10462	STOCKHOLM	Sweden	8	Danderyd	01-563-071862-2004	2005-03-04					Panncentralen byggnad 06		18288	DANDERYD	SE			20-Combustion of fuels	Petra Karlsson						903	3	903	8	903	2	1019	3	1019	1	1019	1	1019	1	1019	3	0	0	0	0	0	0	0		0		0		0		0		
Sweden	100-Holding Account	AB Fortum Värme samägt med Stockholms Stad 	9	556016-9095	closed	Account holder	AB Fortum Värme samägt med Stockholms Stad	Lidingövägen 115		11547	Stockholm	Sweden	9	Fagersjö	01-563-072145-2004	2005-03-04					Ejdervägen 2		12349	FARSTA	SE			1-Combustion installations with a rated thermal input exceeding 20 MW							2494	0	2494	0	2494	0				Not Reported		Not Reported																					
Sweden	100-Holding Account	AB Fortum Värme samägt med Stockholms Stad 	10	556016-9095	open	Account holder	AB Fortum Värme samägt med Stockholms Stad	Lidingövägen 115		11547	Stockholm	Sweden	10	Farmen	01-563-071768-2004	2005-01-01					Gästgivargränd 1		18736	TÄBY	SE			20-Combustion of fuels							6142	7556	6142	6205	6142	3362	0	19	0	3151	0	4365	0	3132	0	2893	3304	4542	2737	391	558	0	461		397		335		276		218		
